Symbol,Score,Loss,Under
SGX:LMS,3.80,50.7%,O
SGX:BQN,3.11,44.5%,U
SGX:J2T,2.91,49.3%,O
SGX:5DD,6.32,43.2%,O
SGX:AVM,1.30,57.1%,O
SGX:5WH,3.85,46.6%,U
SGX:K75,1.39,57.1%,O
SGX:OTX,5.96,47.6%,O
SGX:Q0X,2.49,53.4%,O
SGX:TVV,4.31,45.8%,O
SGX:DRX,2.92,53.4%,O
SGX:5HT,2.77,46.0%,U
SGX:BDX,1.42,57.1%,O
SGX:E9L,1.31,57.1%,O
SGX:AIY,5.93,45.2%,O
SGX:594,1.21,57.1%,O
SGX:5BI,2.41,53.4%,O
SGX:5DM,2.10,53.4%,O
SGX:BAI,1.60,57.1%,O
SGX:A31,0.98,58.0%,O
SGX:W05,4.50,46.0%,O
SGX:504,1.92,57.1%,O
SGX:AAJ,0.90,58.0%,O
SGX:5G4,2.10,53.4%,O
SGX:586,2.56,48.2%,U
SGX:AWV,3.81,47.0%,O
SGX:5AL,2.05,53.4%,O
SGX:BCV,3.57,50.7%,O
SGX:T24,2.37,53.4%,O
SGX:43E,0.99,58.0%,O
SGX:5EW,2.74,53.4%,O
SGX:OTS,3.31,46.9%,O
SGX:BLH,5.68,47.6%,O
SGX:OMK,0.73,58.0%,O
SGX:ZXY,3.31,44.5%,U
SGX:A04,2.01,53.4%,O
SGX:BQC,2.02,53.4%,O
SGX:42T,1.20,57.1%,O
SGX:8A1,2.40,53.4%,O
SGX:5RF,1.31,57.1%,O
SGX:FQ7,1.28,57.1%,O
SGX:40B,0.96,58.0%,O
SGX:5WV,0.64,58.0%,O
SGX:5UX,2.29,53.4%,O
SGX:HQU,3.30,44.5%,U
SGX:5AU,3.59,50.7%,O
SGX:P8A,5.67,47.6%,O
SGX:5OX,2.82,53.4%,O
SGX:G07,5.59,47.6%,O
SGX:QNS,3.33,47.3%,O
SGX:P36,1.74,49.5%,U
SGX:H78,3.54,50.7%,O
SGX:1A1,5.20,47.6%,O
SGX:1R6,5.12,47.6%,O
