Symbol,Score,Loss,Under
NYSE:VIST,4.40,45.2%,U
NASDAQ:SWKH,3.82,44.5%,U
NYSE:MGY,4.52,45.2%,U
NASDAQ:CIZN,4.65,43.7%,U
NYSE:PUMP,4.63,44.9%,U
NYSE:NWN,4.40,43.7%,U
NASDAQ:CSWC,4.46,45.2%,U
NYSE:CVS,6.47,43.0%,U
NASDAQ:MPWR,7.97,41.5%,O
NYSE:GFF,5.21,43.1%,U
NASDAQ:HCCI,6.38,43.2%,O
NASDAQ:CROX,6.40,42.0%,U
NASDAQ:FOXF,5.50,44.6%,U
NYSE:BLDR,6.91,42.0%,U
NYSE:DG,6.27,43.7%,U
NASDAQ:MRAM,5.16,43.1%,U
NASDAQ:IBEX,4.93,44.9%,U
NASDAQ:GCMG,4.84,43.7%,U
NASDAQ:COHR,4.57,43.7%,U
NYSE:AVTR,5.87,43.1%,U
NYSE:BOX,6.23,43.1%,O
NASDAQ:IBCP,6.82,42.0%,U
NYSE:VTLE,3.71,44.5%,U
NASDAQ:CHTR,5.44,43.1%,U
NASDAQ:SWIM,3.89,44.5%,U
NYSE:KNX,7.41,42.4%,U
NASDAQ:CHK,3.70,44.5%,U
NASDAQ:DLTR,5.64,44.0%,U
NASDAQ:CHRD,4.59,43.7%,U
NASDAQ:VIAV,5.42,43.1%,U
NASDAQ:BCML,6.24,43.1%,O
NASDAQ:CNXC,5.79,43.1%,U
NYSE:BHP,6.75,42.0%,U
NYSE:DAR,6.74,42.8%,U
NASDAQ:TIGO,4.48,43.7%,U
NYSE:ASGN,6.13,42.8%,U
NYSE:TALO,3.83,44.5%,U
NYSE:DELL,5.37,43.1%,U
NASDAQ:NBIX,5.37,44.7%,O
NYSE:GEF,6.69,42.0%,U
NYSE:SM,4.46,43.7%,U
NYSE:CPB,5.41,44.9%,U
NYSE:G,6.25,43.7%,U
NYSE:KFY,7.51,41.1%,O
NASDAQ:AMPH,6.67,42.0%,U
NASDAQ:NDAQ,6.17,43.7%,U
NASDAQ:EXPD,8.02,46.3%,U
